Date_start,Power_kW,Hour,DayOfWeek,DayName,Month,MonthName,Date,Official_Holiday,Holiday_NoActivity,Holiday
2018-01-01 00:00:00,106.4518637,0,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 01:00:00,106.7578603,1,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 02:00:00,104.5137457,2,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 03:00:00,106.1927503,3,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 04:00:00,104.896974,4,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 05:00:00,106.4474684,5,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 06:00:00,104.9645779,6,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 07:00:00,105.2680629,7,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 08:00:00,106.7078376,8,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 09:00:00,105.8894746,9,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 10:00:00,115.6918308,10,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 11:00:00,120.3104539,11,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 12:00:00,123.6630213,12,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 13:00:00,122.9817498,13,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 14:00:00,122.8471699,14,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 15:00:00,121.8802039,15,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 16:00:00,122.3419197,16,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 17:00:00,123.4001405,17,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 18:00:00,119.4251149,18,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 19:00:00,118.6869138,19,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 20:00:00,119.0864675,20,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 21:00:00,117.8017841,21,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 22:00:00,110.569004,22,0,Monday,1,January,2018-01-01,True,False,True
2018-01-01 23:00:00,106.828813,23,0,Monday,1,January,2018-01-01,True,False,True
2018-01-02 00:00:00,109.3324596,0,1,Tuesday,1,January,2018-01-02,False,False,False
2018-01-02 01:00:00,105.82208,1,1,Tuesday,1,January,2018-01-02,False,False,False
2018-01-02 02:00:00,107.7516167,2,1,Tuesday,1,January,2018-01-02,False,False,False
2018-01-02 03:00:00,106.1190767,3,1,Tuesday,1,January,2018-01-02,False,False,False
2018-01-02 04:00:00,105.1228087,4,1,Tuesday,1,January,2018-01-02,False,False,False
