Date_start,Power_kW,Hour,DayOfWeek,Holiday,Power-1,temp_C,solarRad_W/m2
2017-03-06 18:00:00,258.4821512,18,0,False,307.7082554,14.81666666666667,3.5140833333333332
2017-03-06 19:00:00,210.9559816,19,0,False,258.4821512,14.714999999999998,1.2552500000000002
2017-03-06 20:00:00,164.5866131,20,0,False,210.9559816,14.4525,1.2641666666666669
2017-03-06 21:00:00,153.3114128,21,0,False,164.5866131,13.858333333333333,1.3010833333333336
2017-03-06 22:00:00,150.3977475,22,0,False,153.3114128,13.395000000000003,0.84225
2017-03-06 23:00:00,144.2164906,23,0,False,150.3977475,13.152307692307694,0.9584615384615384
2017-03-07 00:00:00,144.1143522,0,1,False,144.2164906,12.494166666666667,1.0454166666666664
2017-03-07 01:00:00,142.2645588,1,1,False,144.1143522,12.6325,0.9900833333333333
2017-03-07 02:00:00,141.1207343,2,1,False,142.2645588,12.445,0.7779166666666667
2017-03-07 03:00:00,139.2234298,3,1,False,141.1207343,12.525833333333331,0.9530833333333332
2017-03-07 04:00:00,136.5192738,4,1,False,139.2234298,12.637499999999998,0.9071666666666666
2017-03-07 05:00:00,136.2273003,5,1,False,136.5192738,12.448333333333332,1.043
2017-03-07 06:00:00,147.217434,6,1,False,136.2273003,11.970833333333333,1.516333333333333
2017-03-07 07:00:00,183.0018736,7,1,False,147.217434,12.374166666666666,35.35466666666667
2017-03-07 08:00:00,238.5157684,8,1,False,183.0018736,13.511666666666668,216.29166666666666
2017-03-07 09:00:00,280.8305773,9,1,False,238.5157684,14.61416666666667,405.68333333333334
2017-03-07 10:00:00,315.0904757,10,1,False,280.8305773,16.113333333333333,565.2583333333333
2017-03-07 11:00:00,329.7251503,11,1,False,315.0904757,17.250833333333336,660.0999999999999
2017-03-07 12:00:00,303.3602572,12,1,False,329.7251503,17.959166666666665,730.1666666666666
2017-03-07 13:00:00,290.7195837,13,1,False,303.3602572,19.2525,720.0
2017-03-07 14:00:00,301.2867221,14,1,False,290.7195837,19.780833333333334,646.4333333333333
2017-03-07 15:00:00,299.5685784,15,1,False,301.2867221,20.323333333333334,518.7500000000001
2017-03-07 16:00:00,300.3729183,16,1,False,299.5685784,20.474999999999998,334.43333333333334
2017-03-07 17:00:00,272.7670855,17,1,False,300.3729183,19.348333333333333,173.51666666666665
2017-03-07 18:00:00,235.3804544,18,1,False,272.7670855,17.35166666666667,23.30716666666667
2017-03-07 19:00:00,202.2792408,19,1,False,235.3804544,15.5725,0.5144166666666666
2017-03-07 20:00:00,174.5486652,20,1,False,202.2792408,15.138333333333334,0.4570000000000001
2017-03-07 21:00:00,163.559578,21,1,False,174.5486652,14.3775,0.5052500000000001
2017-03-07 22:00:00,150.7728131,22,1,False,163.559578,14.165833333333333,0.6415000000000001
2017-03-07 23:00:00,147.7375445,23,1,False,150.7728131,14.175833333333337,0.41074999999999995
2017-03-08 00:00:00,147.1366442,0,2,False,147.7375445,14.070833333333331,0.21
2017-03-08 01:00:00,144.9036225,1,2,False,147.1366442,13.6875,0.33
2017-03-08 02:00:00,144.4268371,2,2,False,144.9036225,13.175833333333332,0.4893333333333334
2017-03-08 03:00:00,143.690729,3,2,False,144.4268371,13.135833333333332,0.35308333333333336
2017-03-08 04:00:00,140.7316456,4,2,False,143.690729,12.682500000000003,0.57
2017-03-08 05:00:00,140.7546686,5,2,False,140.7316456,11.558333333333332,0.7154999999999999
2017-03-08 06:00:00,154.9060695,6,2,False,140.7546686,11.488333333333332,1.1309166666666666
2017-03-08 07:00:00,185.2233838,7,2,False,154.9060695,11.981666666666667,65.83999999999999
2017-03-08 08:00:00,242.4727942,8,2,False,185.2233838,12.479166666666666,245.375
2017-03-08 09:00:00,317.6137965,9,2,False,242.4727942,13.067500000000003,431.5333333333333
2017-03-08 10:00:00,318.7075983,10,2,False,317.6137965,13.654166666666663,587.4583333333334
2017-03-08 11:00:00,332.8700921,11,2,False,318.7075983,15.573333333333332,695.775
2017-03-08 12:00:00,294.750911,12,2,False,332.8700921,17.143333333333334,746.4166666666666
2017-03-08 13:00:00,292.6750736,13,2,False,294.750911,18.061666666666667,737.3333333333334
2017-03-08 14:00:00,308.1657852,14,2,False,292.6750736,19.150833333333335,668.4333333333334
2017-03-08 15:00:00,298.4921485,15,2,False,308.1657852,20.435,544.1833333333333
2017-03-08 16:00:00,294.1366155,16,2,False,298.4921485,20.889166666666668,373.64166666666665
2017-03-08 17:00:00,263.9270907,17,2,False,294.1366155,20.985833333333332,181.125
2017-03-08 18:00:00,228.1083259,18,2,False,263.9270907,20.39166666666667,22.97283333333334
2017-03-08 19:00:00,194.2714228,19,2,False,228.1083259,20.149166666666666,0.0
2017-03-08 20:00:00,164.7214023,20,2,False,194.2714228,20.42083333333333,0.013916666666666667
2017-03-08 21:00:00,144.180491,21,2,False,164.7214023,19.882499999999997,0.04833333333333333
2017-03-08 22:00:00,140.1435126,22,2,False,144.180491,19.205,0.19608333333333336
2017-03-08 23:00:00,139.8232836,23,2,False,140.1435126,18.157692307692308,0.019153846153846153
